OFNS_DESC,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,PREM_TYP_DESC
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,STREET
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,MANHATTAN,BAR/NIGHT CLUB
SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - PUBLIC HOUSING
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,ATTEMPTED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,BAR/NIGHT CLUB
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,QUEENS,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,DOCTOR/DENTIST OFFICE
SEX CRIMES,SEXUAL ABUSE,COMPLETED,FELONY,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,SODOMY 1,COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,HOSPITAL
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
SEX CRIMES,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,RESIDENCE - APT. HOUSE
